zFish(00:00:00): 学员录制了OK，然后现在应该开始录制了啊。就是从那个呃。
zFish(00:39:09): 或者副业，然后你赚到了，你赚到一些钱呢这些钱你如果全部换成现金肯定不行，那你要买房。这是大部分人呃两种模型，有一套房，然后有一些现金OK，然后呢你现金始终会遭受遭受通货膨胀的细节呢而且房产的确那是高虚啊，你也卖不了，所以需要。

zFish(00:39:32): 执教也没没有什么意义，那那比如说哎我另外一些人选择了投资房产呢，大于现在这个时间点来讲，投资房产也比较扯淡，因为毕竟政府的一个红线已经定了嘛，然后投资房产也不好做，而且房产有很多很很麻烦的一些东西，比如说开发商跑路啦，然后一些装修啊，各方面挺复杂的一些东西。房产的一个最大的好处在于早期的投资方式。你可以拿到。

zFish(00:39:59): 嘻嘻告诉他就说，哎，我找银行贷钱贷款。普通人能从银行贷贷款就说白就撬动你的负债。你的负债能能起来完全就是银行通过房产给你。

zFish(00:40:11): 那负债会随着通货膨胀的这个这个时间然后逐渐降低。所以你需要转的这个通货膨胀的就是说如果你有大量的储蓄，你瘦了通货膨胀的洗劫。而如果你有大量的负债，然后你享受到了通货膨胀的好处。

zFish(00:40:28): 因为你的负债贬值，所以这是两个互相矛盾问题。娜娜你普通人你要去做就是说啊我肯定是需要增加我的负债在合适的杠杆率，不要把自己搞破产就行，另外另外一种就是说我买不起房子，然后我有一些现金用了日常开支，然后应急六个月的应急储备，另外就是说哎我有金融资产，然后金融资产怎么说就是我刚才说的各种你有大量的投资渠道。

zFish(00:40:54): 然后你有加密币啊这个东西风险更高。啊你要知道你自己，你自己水平到底适合哪一种。然后然后你要你要你要把自己的模型然后去建立，就是资产模型。

zFish(00:41:06): 然后然后比较合适的就是我觉得比较理想就是这个啊居住的。然后投资的。当然投资跟金融可以互相切换的。他们中间这一块儿吧就是说你抵御通货膨胀，甚至去享受到通货膨胀好处的一个大头，就是你突破金融投资，跟那个房产投资，然后去做那你现金，然后是你日常生活开始的投资资产。

zFish(00:41:30): 呃买点彩票啦，买点加密币啦，然后以10 %的资产，然后去做那个做那个高风险投资，比如说有个实验啥的。那我觉得这样子也会让让你的这个资产速度有可能会提高吧。

zFish(00:41:46): 但是但是这种模型的话就是说呃考虑到你生活的稳定性，如果你投资资产很高占到50%以上，那你想你的个人资产每天都在暴涨暴跌。谁让你对你的生活影响还是比较大。

zFish(00:42:00): 呃标准的就是三角形，容易金字塔这种结构风险越高然后越少，然后越在低谷。然后所以最最底下的肯定是比较稳定的一些投资策略，然后。

zFish(00:42:15): 关乎这一点另外一个研究就是说我对家庭理财的一个规划。我们当时也做过理财规划这个事儿，是给银行做一些理财规划的一些表啊然后就是银行的理财顾问就会自动处罚，然后这其实是一个比较复杂的一些计算，最终的最终嗯最终最终实际上就是说你有些目标，你有各种目标，然后你把它拆解出来。然后构建一下家庭投资组合，然后最后制定一些这个抵御风险的一些规划。保险啊，医疗啊这种。呃这这我觉得普通人能做的也只有这么一些了，其他我没晓得，不知道大家有没有周律师有什么看法。我觉得这里面有个关键词，就是说我们的养老跟通货膨胀是直接关系的。

zFish(00:43:04): 每个人都会深受通货膨胀的影响，关键就是说你到底还想享受它的好处呢还是承受它的坏处的。嗯一个好处就是说我们我们的通货膨胀端我们有负债。然后我们就程序两端，负债跟储蓄之间，然后结束程序。比较直接的就说啊我我我的负债是我的这个投资的就是我的投资。我通过负债，然后去抵御，去建立投资，然后去敌通货膨胀。而我的储蓄，储蓄比较好的就是说生活开支啊。那这样子这个模型就是我我对这个整个。

zFish(00:43:53): 金，金融经济的这个看法就是普通人应对政府的通货膨胀。然后你的两种策略，从负债多。从呃哎这叫啥，储蓄端吧，就是说你哦。就是这么一个最简单的模型。

zFish(00:44:22): 所以其他人有有有有分享吗。大家。

zFish(00:44:27): 我我因为我不太想把这做成一个个人的一个方式。啊因为这样我我我输出一些东西嗯嗯东西就说涨30也可以，但是这明显不是一个31个30。如果如果讲35，会准备一些更充分，这就是瞎聊。然后如果他。

大妈/ZoomQuiet(00:44:38): 这可以当成这个你以后专题session的这个叫准备啊。但其实呃像你说的你你这个标题的是定期会议啊，因为刚一开始类似于这种你想搞一个非常什么热泪啊怎么地的这种在线讨论，这其实是要有足够的前期宣传的，大家有带着问题啊带着这个要自己准备东西才可以来，否则冷不丁你说是今天要来啊那比如当你这是提前两个星期提前一个星期通知的。

大妈/ZoomQuiet(00:45:08): 但是一个星期当中并没有给大家一个确切的这个讨论的什么。大家就是就想听你的亏钱经验的对吧。啊所以这个呢类似于这种你想达到你最后你感觉舒服，大家又又又感觉有趣值得来，而且定期愿意聊的话，这个呢。

zFish(00:45:19): 嗯。

大妈/ZoomQuiet(00:45:26): 前提啊，不是说你规划的好，前提是一定要定期来。

大妈/ZoomQuiet(00:45:31): 啊定期了之后，你才有才有才能够把大家的这种无论是学习阿讨论那还是提问，那怎么的这个节奏呢。能够慢慢慢慢相入到日常生活当中。

zFish(00:45:41): 嗯。

大妈/ZoomQuiet(00:45:41): 就不会搞得非常啊非常这个叫叫叫叫紧张。或者怎么地啊它变成变成一个一个一个周末定期的聊聊天儿聊天儿在线聊天儿节目。啊那么你你才会慢慢发现啊大家觉得这是个平台，我也可以来那么就就就就都可以共享了，所以今天的话已经55分钟了。

大妈/ZoomQuiet(00:46:03): 啊你这个那么刚一开始呢其实为了不教召唤神龙，啊为了把大家的这个叫聊天儿，啊怎么地能够又是过来。

zFish(00:46:04): 嗯。

大妈/ZoomQuiet(00:46:14): 啊实际上呢是是先期呢是发起人或主持人需要持续输出一些的，这样大家呢才能够看到这个边界，哪些能说哪些不能说，哪些值得说等等等等。

大妈/ZoomQuiet(00:46:25): 啊其实对其实叫什么乳酸退出中国。但是腾讯会议啊或者其他的呢现在功能呢其实非常完备。包括你又找着了这个白板。那这实际上就比其他的这种毫无目的或者说完全的这个叫主题分享的要要自由的多，啊要自由的多，但是这个自由的情况之下呢跟那个clubhouse一样，大家聊什么。

大妈/ZoomQuiet(00:46:49): 完全是看拒绝来的人啊，那么这个呢现在呢都是从你的那个群里头来着。嗯那个其实群里头的话呃其实呃其实群里头的话那个叫叫啥阿。就是之前群里头不是经常性的会爆发一些这个比较比较比较密集的讨论嘛。啊这个比较密集的讨论实际上就值得是每个月或者每两周啊看你这个定期啊这个每个月讨论的一个一个重点，因为在在群里头的话，零零碎碎他这个大家又不愿意发长文。

zFish(00:47:19): 嗯。

大妈/ZoomQuiet(00:47:24): 所以很多时候是说不清楚的啊你比如说你你的现在的最后的这个经验啊通过膨胀你要么忍他啊要么消费他啊那么什么是通货膨胀。通货膨胀是不可避免的，这个呢是大家慢慢有这种感觉呢。为啥不可避免。这是经期规矩对吧OK好，那通货膨胀的情况之下，我们普通人如何把通货膨胀的这个危害尽可能降低，这个其实。

zFish(00:47:43): 对。

大妈/ZoomQuiet(00:47:50): 别说普通人啦，这个就是就是各大国家各大智库啊甚至于这个美联储人家都是拼了命的在研究这个东西。要在他这上头这个这个产生效益。这是一个这是一个投资领域的一个常设，就是自打有人类自打有货币之后，这个这个命题就没有停过。这实际上是一个非常大的命题，那么我们只做顶多是把它收缩到哪儿呢，第一中国。

大妈/ZoomQuiet(00:48:16): 对吧，第二呃第二呢是可以用技术方式把它给降下来，而不是用投资方式或者其他使用方式。对吧啊所以这是这是有点儿技术啊有点儿焦虑啊。那么现在呢还有时间去啊叫架设，假设你刚才说的这个叫。

大妈/ZoomQuiet(00:48:37): 个人或者家庭的这个叫投资组合的这一类人。啊那么这是可以长期去讨论。那比如说我在隔壁。

大妈/ZoomQuiet(00:48:46): 我在隔壁他那个群，实际上也就是立在群也是四五年了。但结果大家慢慢慢慢地开始讨论如何养老。那就是平均岁数可能30岁都不到的这个群。

大妈/ZoomQuiet(00:48:58): 开始在讨论养老的事情，因为已经看出来了，这个呃这个中国的这个老老龄化是不是如何养老，如何叫叫叫什么来着。

大妈/ZoomQuiet(00:49:08): 自营或者自发自主养老，就是叫叫什么来着。叫团购。啊。那个就不是出了很多这个方式嘛，哎就停下了，对对对啊体面养老，因为靠国家，靠子女，靠投资，其实等等很多都都已经证明不可能啦，那看到的中国老龄化这个社会，到最后可你无论你20多岁40多岁，已经可以看到你的上一代人都是如何悲惨地死去的。

大妈/ZoomQuiet(00:49:36): 啊这个这个是你躲避不了的那OK那你怎怎么样好好的老去好好的死去啊这是一个很重大的问题呢。隔壁的隔壁日本已经是非常非常在在实况性的在演示是怎么悲惨死去的啊对呢每年都是死在自个儿自个儿自个儿家里头臭了，都没人管了，这个老人他到到处都是，而且去背这些尸体，人还都是偷偷度到日本的中国人去帮忙扛。

大妈/ZoomQuiet(00:50:07): 这就是这样啊，所以你看那么在这种呃已经明确的普通人，如果你没有作为，单靠现在的我们叫社会社会福利或者说养老基金的这种方式不可能不可能搞定的情况之下呢就有压力了，有压力才有动力对不对啊呃不是他其实退休是不是一定需要钱。因为很多人他其实找到了，比如说我到那个就是小伙伴们啊比如说比如说其实这个模式还没有人去探索，比如说那个叫叫啥花儿果斯对吧。花儿果斯当时是那个。

大妈/ZoomQuiet(00:50:44): 几乎是死城，因为当时他那个是政府搞了个什么东西，把那房地产过度开发，所以整个城市也在70%以上是空楼。

大妈/ZoomQuiet(00:50:52): 啊就跟跟死城一样，那种恐龙的话，它是属于飞喽飞喽有什么办法。只要是我们投入很少的钱就可以在那里头，啊这个营造出来一个基本上。

大妈/ZoomQuiet(00:51:04): 自给自足的这么一个养老基地。无论是在这种废旧废城市啊或者是大城市圈附近的山上啊或者哪儿啊只要是有这个有这个地点啊有这个叫人啊那笔那么OK好那大家结结伴养老。就是内内呢其实这都是在探索的啊这都是在开始收集的那一切一切这些你比如说如何转到退休需要的钱，那么呃某瑶叫离清楚或者说搞清楚某一个养老的这个模式之后呢。这个模式需要多少钱。平均每一个人要需要多少钱啊就是多少几几年的时候达到多少钱就OK。那这就就变成了一个就变成一个具体问题啊然后就往下分解啊你比如说200万啊200万，那是30年后的200万，那如如果30年后变成400万，那么如何用30年挣到400万，那这个这个命题就好好解决，多不是说要让你这个月要赚100万对不对，30年转到一三百万或者400万人民币，这其实并不难。

大妈/ZoomQuiet(00:52:08): 对吧那那关键是啥呢，就是过程当中你别浪费钱啊别别别乱买，或者等等的这个就变成具体问题就很容易去就说穿通货膨胀养老这两个点加起来，中间其实中间过程就是学习技术。

大妈/ZoomQuiet(00:52:23): 加投资，那么把它分解下来，每一次讲一个。

大妈/ZoomQuiet(00:52:28): 讲一个命题把一个命题给啊飞出去，变成大家aa可以认同可以开始尝试的事情。那就有可非常有可能就变成一个啊提前20年结形成的这么一个啊体面养老团或者怎么的我们隔壁叫学霸养老团啊甚至叫叫什么这个都可以开始搞说穿了这种定期的网络聚会，他想真正长期下去那一定是要跟类似于强国论坛啊或者说之前啊之前革命啊就是大家看了那个。

大妈/ZoomQuiet(00:52:59): 叫觉醒年代啊那些组织啊就现在的，明明连什么的都是。当年就是那么有一个。

大妈/ZoomQuiet(00:53:07): 具体的固定的目标，然后大家慢慢固定期开始展开讨论，各自去负责不同的东西才能够下去。否则你每一次你讲东西在对待好呢，这个跟我无关。那基本上就是就是变成一个叫啥来薅羊毛的，我过来听听啊，等哪听得懂。

大妈/ZoomQuiet(00:53:25): OK，听不懂也无所谓，反正不花钱，对吧那就没啥意思了。啊真正的这个行程这个所谓的社区或者团队一定是要共同去解决一个大家认同的问题。而持续的投入，并且能够获得这个获得预期啊预期的这个叫收益啊无论这个收益是新的这个较新的人脉还是新的技术，甚至于这个确切的新的这个叫啊叫收益都没问题，这这个投资收益都没有问题的一定是说穿了这个叫啥说得不好听点儿。

大妈/ZoomQuiet(00:53:58): 那个网上一直我也传过就是十桌越就是捉月的正确姿势是什么呢那那就是有问题解决问题，没有问题制造问题。

大妈/ZoomQuiet(00:54:09): 再去解决，这就是只有这样持续不断解决真实的问题啊无论是问题是真实的还是自己制造出来的，那都是专业的进程啊啊这个我我算是强行把你这个头一次开圈儿的这个这个这个分享给给给给给给给总结了一下啊。

大妈/ZoomQuiet(00:54:28): 然后你看看，所以这每一次的画也是一样，你就定好，要么就60分钟啊，我之前都是定的42分钟一次的啊。OK，好，群主，你看着。

zFish(00:54:51): 哦，我觉得大妈这个还是很有经验的。因为我之前。

zFish(00:54:57): 呃我之前是英语英语的一个那个群吗。因为那个各种外国人的群，然后我们就约定每周然后包括明天也有每周每周然后去，在那个微信里边儿去就是随便聊嘛聊聊聊就用，如果你要练英语你用英语说如果你要练中文就中文说然后大家就。

zFish(00:55:19): 呃之前也有六七次了吧，然后感觉还不错。但我这个群一直没有去组织，是我不知道该怎么去组织，因为这个群比较花洒，领域也比较分散。但实际上。

zFish(00:55:32): 李玉这个裙子这个主持表附上，不过与我自己来讲确实是一个呃同一个目标，就是我自己把它画成这三块儿还是有目的性的。比如说也是可能都那么说的嘛，就说哎你最终的问题肯定是你赚钱的目的是啥，肯定是养老或者是。

zFish(00:55:53): 呃在年纪大的时候，然后可以去体验去玩儿啊，或者说因为看到竹子钱嘛。然后再就是家里的开支啥的时候。你前面做的一系列铺垫啊学习啊什么技术啊投资啊，然后这种组合。

zFish(00:56:08): 全部都是为了为了一个共同的目标吗。也许也许是这个目标吧。就说俗一点儿，我们就定这个目标，然后比如说你要赚到一笔钱，然后呐。

zFish(00:56:19): 你有一个目标啊，我我我我要赚到一笔固定固定的钱，那我那我需要通过什么途径呢。我有什么我有我有什么优势。然后就说我学习的优势跟技术的优势，或者说是你自己的一些其他的优势。然后最终。你去通过投资，然后去达达成的目标。然后在这个过程中，其实我其实我也写了大量的文章。只不过没有以这种形式去跟大家聊过。然后就是说，可能都是我一个人的思考。

zFish(00:56:51): 然后如果以这种形式的话，可能有一部分人对这个话题感兴趣，然后比如说呃或者呃就是说你对这个目标感兴趣的话，可以持续的去聊。比如说。

zFish(00:57:03): 呃美现在定的是每个月一次吗。这频率我也不知道是高还是低。

大妈/ZoomQuiet(00:57:06): 一个一个月一次，其实是是他是已经是很高的频率了。

zFish(00:57:10): 一个月一次，与我来说成本会低一点儿，也不。如果是自由的聊的话。呃。

大妈/ZoomQuiet(00:57:11): 因为你想因为你一次都不是说是随机来的。比如说定好了就是每个月的最后一周的星期六，对吧好那这样的话内执行完了之后呢这次讨论引发了什么新的这个新的这个叫课题。

zFish(00:57:20): 哦。

大妈/ZoomQuiet(00:57:28): 你要你总要你比如说我们好容易你不说还要发到Youtube上对不对啊那么你总要对这个内容呢进行这个录音录像制作发布对吧那这样。

zFish(00:57:28): 嗯嗯对。

大妈/ZoomQuiet(00:57:40): 这个用一周的，这个用一周的时间没问题吧。

zFish(00:57:41): 嗯。

大妈/ZoomQuiet(00:57:43): OK好那第二呢接下来的第二周呢，就把上一次啊就是前一次他积累的这个呃问题然后发不出去之后呢然后呢回馈啊反馈，然后进行总结，定好下一次的这个叫题目啊，那这这个呢大家就进进行这个叫。

大妈/ZoomQuiet(00:58:03): 这不叫选举啊就是这个叫叫讨论和选定。然后呢啊开始这个宣传呢宣传呢要宣传一周啊宣传宣传我看一二这是到第三周了，第三周的宣传呃不到两周啊那就是又到下期节目了，所以这是一个循环迭代往前走的这个过程是一个月的业余时间，其实已经很紧张，因为你想中间我因为我之前这个为什么这么说呢，因为之前参加过。

大妈/ZoomQuiet(00:58:34): 类似的读书会啊他那人家读书会人家是为了这个叫叫叫什么来着。那叫系统性。这个阅读并且适切媚啊就是对一些啊这个这个叫市面上流行的一些错误的观点进行切妹啊等等。人家是有他的学术学术目标的，因为那个读书会其实主创人员事实人家中国社科院的这个叫研究员。啊所以他有比较好的这个资源可以把一个问题通过突出呢把东西关联起来。那你这个是因为打底儿的呢是你的这个以前的无论是学习技术还是投资的这个这个经验啊那么OK好也是一样。每一次呃每一次讨论的内容来进行提炼，啊然后这个笔记持续发布，磅礴说每次讨论你光每次讨论。

大妈/ZoomQuiet(00:59:21): 第一世你说的内容，第二说的内容。每一次把这个内容说清楚之后，一定会引发出新的问题。

大妈/ZoomQuiet(00:59:27): 其次呢像我们这一种要定期讨论如何体面养老的这个呢它是一个全新的一个呃社区活动。或者说一个一个一个命题就是大家都会关注的这个命题这种命题你是需要叫啥来着叫叫宣传合理宣传，并且是要持续不断的吸引这个叫认同者的。那他这个才会持续往下下去。所以你看一直一周一啊一周这个叫总结。上一次的一周呢是提炼，下次目标一周宣传。还有一周呢就直接到了这个呃叫叫又一期新的这个活动，那中间过程录音录像再制，然后这个文字啊图文的这个输出等等等等。甚至有可能触发下面自由的这个叫小的小的关联讨论也可以汇集过来啊等等这些事情都都。

大妈/ZoomQuiet(01:00:15): 都可以做起来，那做起来之后你会发现，坚持了不也不用几百期。坚持了几十期之后，你会慢慢发觉，每次讨论甚至讨论与讨论之间呢其实它是变成了一个叫同一个目标的一个网网状化的一个叫子目标的，一个叫叫规划和讨论，那什么时候就是说。

大妈/ZoomQuiet(01:00:35): 什么时候都都形成了，就讨论的清楚之后，大家形成共识之后，呢，就变成了一个子任务。那么每一个子任务他可能到最后都会都会占用我们将定期的这个正式沟通的时间，你比如说之前我们全都是这个这个随便的这个讨论。那后来呢有了有了任务，那么又有了任务，就要有执行，有这个追踪。那他就有复盘，然后慢慢就有可能啥呢每一次还是一个小时。那二十二十分钟是满堂20分钟是这个项目进展，这个叫复盘，啊20分钟就直接是变成这个叫计划，等等。啊这就慢慢慢慢你的这个叫会议的这个结构，啊这个啊核心人物啊还有这个叫内容的。这慢慢他会流遍了之后，会会固化下来。然后持续不断的是产生啥呢产生决议，产生内容，产生行动，产生收益。这个你就会自然而然的就说穿了啥呢通过这种自己对于焦虑的理解和推动，然后呢聚集起来啊这个。

大妈/ZoomQuiet(01:01:36): 资源，最后真正解决焦虑问题。这其实这其实不就是得很多人创业或者说发现了问题的一个解决方案，然后形成公司去解决一样的。那现在只不过是通过更有效的这个网络沟通，我们可以自由的去聚集起来。我们玩以前完全想象不到、接触不到的这个人群和资源，对不对。

大妈/ZoomQuiet(01:01:59): 啊每个人其实对于这个无论是体体面养老技术学习还是投资，都有它的这个叫啊叫倾向性。啊兴趣啊资源甚至于团队。

zFish(01:02:09): 嗯。

大妈/ZoomQuiet(01:02:09): 那但是你需要能够有给大家一个足够的理由和目标，才能够愿意啊拿出资源来拿出资源来向这方面努力啊就是这样啊但是前提是真的要坚持定期啊行不说单单是这个我的亏钱经验。

大妈/ZoomQuiet(01:02:27): 经历啊那这个其实这一次只开了开了个头啊开个头就OK可以看出来大家对于私人的这个投资经验和故事呢，你再怎么惨痛阿大家没有经没有投资经纪人其实对这事不感兴趣，或者说他下意识认为他这个是一定会失败了，就对他就对她不感兴趣了。但实际上不是对不对啊，那咱们不说今天呢是啥呢。有一个有一个有一个共通的，就是。共同的这个叫共识，就OK这个通货膨胀是不可避免的啊那怎么应对他。对我我不能无视他呵呵对不对哈

大妈/ZoomQuiet(01:03:08): 好，OK，好，所以所以就是这个直说OK，把我之前在其他社区类似于这种活动的这个组织想法和经验给给拓展了一下而已啊。好，那今天这也是一小时12分了。

大妈/ZoomQuiet(01:03:25): 啊看看大家如果没有其他的建议的话，那就可以先定下来。你比如说先定一个决议啊就是每个月的最后一周的星期六，对吧呵呵你挺你挺你来啊。

大妈/ZoomQuiet(01:03:41): 一个小时是吧，啊呵呵OK啊我像我这个里头是我我这个呃那个隔壁社区这个叫自律Quan Shi我看啊，字体圈今天是自理圈地219期了啊我们这是定的，星期六晚上八点钟之前是08 :42啊开始太晚

zFish(01:03:47): 我现在就说早上十点半也是一个小时，嗯，对。

大妈/ZoomQuiet(01:04:04): 所以你看就是你长期定下来，其实对自己压力啊，对社区压力反而不大。你冷不丁一下还要提醒大家啊。

大妈/ZoomQuiet(01:04:12): 呃然后隔壁说一下你隔壁那个英文的哈是他也是一样。你如果找不到一个一个一个大家认可的共同目标新鲜感过去之后，因为老师这些人说的英语老师这些慢慢也就也就没有没有什么动力再去了啊那个，这就好比那个也是一样，你那个发起的那个叫clubhouse呢他就他就火了三个月，现在没了。

大妈/ZoomQuiet(01:04:36): 都都没人儿说他了对不对。啊就是就是这样啊。OK好以上啊你看没有其他的话，今天其实就可以结束。

zFish(01:04:41): 嗯。

大妈/ZoomQuiet(01:04:45): 啊但是你你形成的你手工形成的这个这个图就可以每一期留存下来，啊那么下一期可以再继续把它这个拓展，慢慢就拓展到一个非常非常非常大的一个独有的这个叫叫什么思维地图，啊。

zFish(01:04:47): 嗯。

zFish(01:04:57): 对。

大妈/ZoomQuiet(01:05:07): 这是可以画无限大的啊，哈哈！

zFish(01:05:13): 对他这个可以画的挺大的

zFish(01:05:19): 对对对，可以可以画的，应该是非常的大。就是我们可以在上面不到的话，而且东西还不错，画图够格，很灵活。

大妈/ZoomQuiet(01:05:22): 啊OK。就结束啊，就这么简单啊。

zFish(01:05:32): 呃那其他人还有没有什么想要说的，没有的话我们就可以结束，嗯时间比较久。嗯关现在有15个人。

大妈/ZoomQuiet(01:05:33): OK，好，我这边也结束录制，然后录制完我放到云盘共享到群里头，你看你怎么用啊。OK。

大妈/ZoomQuiet(01:05:44): 我是录到本地啊，我是录到本地啊，本地和云端，因为云端的话你不付费，他空间是有限的。实习老师。

zFish(01:05:48): OK，我我这也录到云端了，我想想我可能会把它放在Youtube嗯嗯嗯哦原来如此。行好，那我们。

大妈/ZoomQuiet(01:05:52): 呵呵，不然人家怎么赚钱嘞？哈哈哈，腾讯又不傻啊！OK，好，以上。
