zFish(00:00:00): 我点个木质。
zFish(00:53:51): 如果没有人补充的话。你们也可以直接说的，因为你直接发言，我也能听到的。比如。

zFish(00:54:01): 不想完全打字包红包，帮我从那个公司这里要主动告知。对对对对，是有限公司是这个刚刚的公司规定，有限公司不需要，有限公司是。

zFish(00:54:15): 需要比如说有限公司规定你做一些开业的产品是可以的，然后这个不看了。但是如果要做商业的话，然后尤其你公司有些那么牵扯的话，那你得针对于公司告知才行。这是，这是一点，当然，如果你不赚钱的话无所谓，反正就是自己瞎玩儿。然后公司也没有那么多精力去管，很多时候，就是说只要你搞大了，这些问题才会出现。

zFish(00:54:44): 开元也一样，开月虽然说是名义上这么说，但是很多人可能可能可能聚聚聚，也也不会专门去讨论。

zFish(00:54:53): 美国师傅，我要去做开源。大部分时候你可能直接发布给他，二、这个这个问题也不大，然后不同公司可能要求的这个。要求的这个范围不太一样吧。然后组织都和第一条有关系，你先了解公司的规定，公司应该有些那个相关的规定的。这是一点，我看我们这个。现在梳理一下，然后推广输了不要不好看如何推广然后国内的渠道。国内渠道。我也去。发生。

zFish(00:55:50): OK。

zFish(00:55:58): 好。

zFish(00:56:00): 到国外国外国外我们看看国外这个这个这个人组，他写的42种方式，其实说的都是网赚。我关于网站这个问题的话，有技术的也有非技术的。比如说你做那个内容，做内容的话跟基础其实没有什么关系，很多时候跟你的推广相相关。

zFish(00:56:24): 但是我们搞技术也可以了解一下他们，他们是怎么做的。其实这个公司没问题，这东西其实就跟技术没有什么关系。但是你可能做的是跟技术相关的这个内容。然后国外渠道，国外渠道的话，国外渠道，国外有什么特点？五仙。

zFish(00:56:47): 做之前先了解一下国外有什么特点呢。为什么说国内和国外有区别。国外有个特点，就是国外的特点就是吃。再加一条分析一下国内国内国外的这个。

zFish(00:57:33): 国内的特点。

zFish(00:57:49): 这是国外渠道的特点。

zFish(00:58:00): 突然发现没地儿可摆了，不拍。

zFish(00:58:07): 早上好。排到这个这个918。

zFish(00:58:34): 如何才能拍得好看点儿。

zFish(00:58:53): 国内国内国国内学生特点，慢慢儿写吧。第一就是流量容易获取，这是显而易见的。国内的人比较多，尤其国内下这个。

zFish(00:59:13): 国内互联网跟国外互联网，这很明显就是国内国内的流，流量真的很恐怖，很容易遇到一些特别大于其。比如说你做一些H，5的一些小游戏啥的并发实时在线人数超过多少万都是很简单的，国外的话人没有那么多，然后这个可能留那儿就比较难了。

zFish(00:59:38): 流量容易获取，然后语言北约优势，语言文化优势。

zFish(00:59:46): 我们我们很容易了解国内的一些那个文化语言方面的一些优势，所以做起来更容易。然后可能可能就是一些那个还有就是吃醋，知道别。

zFish(01:00:07): 因为你收款真的很方便，你要去赚，你赚到那个钱很容易拿回来。

zFish(01:00:12): 在国外的话你可能遇到了一个很大的挑战，就是把国外的钱拿回来或者是怎么去用它。然后这这是一个有挑战的一个一个点。然后国内渠道特点，然后就是需要便捷。然后在就是说客大将便宜。

zFish(01:00:35): 这是很明显的，包括无论是流量还是啥，然后因为你赚的是这个人民币，然后但是国外赚的是美刀。

zFish(01:00:44): 有后台优势，所以这个很明显，国内这个赚的钱会少一些吗。但是你如果流量比较大的话，可能最终也也还不错。然后还有就是说太绝了太绝了，真的太绝了人因为人。因为这个搞技术的人特别多，大作都是同质化的东西，只要你只要你一个渠道被人发现你就完了。然后。然后可能可能这个这个护城河没有护城河。没有护城河。因为这个是一个比较比较突出的一个点。

zFish(01:01:26): 还有啥，还有啥，国内国内国内特点咱俩还补充的吗。

zFish(01:01:33): 这样容易获取语音拨号优势，支付便利便捷，可能让便宜太缺德了。这是这是他比较明显的一些点。我想想环境。

zFish(01:01:52): 法律问题。

zFish(01:01:55): 模糊安全问题。其实这个冷战严重跟那个太绝了。

zFish(01:02:07): 差不多也是一座大厂就跟进，然后这导致老大。不过问题我们在讨论是你这个业余时间出来一刀你不太可能容易被大嫂干了。然后可能我说的也就是说诚信的很多或者搞技术的人他特别多，所以很容易然后就陷入一折。

zFish(01:02:27): 个体之间的竞争都没有，都不喜欢大扫除。石头。

zFish(01:02:31): 你比如说咱们在做导航站，然后发现流量容易获取，然后紧接在VX里面发现一群人在做导航站，然后做插件。这儿去一群人在做做差价，做做做做APP然后就是。和谐社会的确安全，听我说的那个就是社会主义特色。15厘热死了怎么说呢。

zFish(01:03:01): 这也是一个亮点吧，你可能某些情况下会恶，比如说备案问题。比如说备案，这也是国外没人用的，国外好不晓得。

zFish(01:03:19): 安全问题安全问题就是刚刚说的这个法律法规，因为你有贼多的这个不确定问题，鬼知道你触犯了哪一条法律。然后这个这个。再加上这个监管网络监管的比较严，然后很多人很多时候这个安全问题比较突出。一些。我是不是特色备案，然后直至监管的问题。监管备案对。这这比较多了吧然后。在有没有补充的。反正时间有点儿多了，这都一个小时了，我还没有找到国外我们可以加速一下。我想想。

zFish(01:04:06): 加速加速一下怎么去。

zFish(01:04:13): 看看国外吧，流量获取针对的就是拿。

zFish(01:04:23): 国外另外一个特点就是你刚说那个垄断真是太绝了。我觉得能的话真得加一下，因为你们这样。

zFish(01:04:38): 这个问题，内机市场小，立即市场小。

zFish(01:04:49): 为什么这么说呢，因为他发很多时候把问题都给解决了，一把梭，然后一条龙服务，啥都有，他全部自己做了。

zFish(01:04:57): 那那我们自己比如说做一些工具和违背大肠的一些平台，这些抄袭，然后没有这空间，包括ios也是。这个很多做这个APP的工具APP之后发现都被ios冲了。

zFish(01:05:11): 然后在微信里面不也是吗？你做一些小程序，然后可能腾讯自己做了，或者说是根本不给你这个空间。你需要各种证书、各种资质。对我操对吧资质也是一个姿势结果。第二这三个问题买资质应该属于这个笼罩吧。资质这种还有资质，还有种种没有资质。OK然后这是。流量获取难，因为老外人比较少，然后语言文化。**。

zFish(01:05:58): 这非常的掠你你不太了解阿拉伯的一些文化，然后包括他们那个一些很多东西你都不了解。然后另外就是欧洲的一些GDP一些隐私的管理特别严格，你。

zFish(01:06:13): 你你你一无所知的时候，做的时候很容易会发现一些问题。然后支付渠道很麻烦，如果你用拍拍的话，你会发现你找找到国内，你可能会被10 %几。甚至更高，然后都都用来交手续费了。

zFish(01:06:34): 呢，真是嫌麻烦，然后再就是他的这个客单价高，就是说汇率优势。就是，就是如果你做欧美市场的话。流速，拓展市场估计，这这这这个优势也不大。就是觉得麻烦，然后语言文化劣势，然后轮到过去拿拿货。男孩多，男孩真的很多，没有那么多人跟你竞争了。然后比较安全，然后针对。第七点，比较自由。

zFish(01:07:16): 然后就飞机市场，很多时候。国内你要做，比如说你要做一个那个做给你做一个产品，做个眼镜儿对吧。然后淘宝里面作业就特别多，然后国外就会发现很神奇，关注一下很多的跨境电商。跨境电商那发现有很多人然后。有很多人他直接厂商，他直接做了一个自己的独立站，做了自己的网站然后直接去卖，直接越过平台然后去去做。

zFish(01:07:53): 当然有些也会盛，比如去亚马逊，然后或者一杯里面去开个开个账号儿啥的。但是那里面可能接管比较高一些。但是你自己开始独立一下比较自由，然后这种小的网站竟然能存活在国内，你发现特别少。很多时候只能依赖于平台对日出垄断吗？

zFish(01:08:15): 然后老外的话就是说老外那个可能是文化方面的一些，我们了解不到这些因素吧。我我现在也觉得很神奇。

zFish(01:08:24): 可以收获一些那个idea，然后或者是一些赚钱的方式，就是特别神奇，你想不到这个有人这都有人可以付费。但是老外的这个付费意愿比较比较比较比较高。付费付费意愿表好吧，不必路虎，莫非女。

zFish(01:08:48): 可能可能他的资产就是保护比较好吧，所以他都他们已经形成了一定的付费意愿。比如说你出一个课程，你也可以直接去卖卖钱，然后买的人还挺多的OK那我们。渠道这一块儿，然后特点，然后就觉得我觉得怎么说呢，应该放在上面会好一点吧。这应该是我们一开始需要去研究呢。要不行我这边儿白班，然后在上边儿。

zFish(01:09:38): 什么小子。

zFish(01:09:45): 国外平台如意封号，那可能是你不太了解他的法规。八、然后封号国内应该也有，然后。

zFish(01:09:58): 刚刚这位老哥提了一个问题。可能可能是。这个跨境电商最近不是亚马逊疯狂封号吗。那肯定是因为。

zFish(01:10:08): 大家对这个国内的信任都已经溃烂了，然后可能不过你。不过对于小，我们做的只是为了赚，特别伤不起。跨境电商一般是一个公司在做，然后可能对于我们来讲的话，我们可能做一个非常小的网站，然后去赚钱，也可以一般没有这种平台，平台不会去给你封号的。

zFish(01:10:32): 比如说你说的跨境电商，国内到处控评。

zFish(01:10:37): 那跟那个社会主义特色也有关系。那个内容做内容做内容我觉得另外一点就是。

zFish(01:10:47): 接管，备备案，然后再就是说。如果没有人做内容，很难跟你们一起。这一点就是说，你这个内容因为您备案的问题。所以你可能你可能。算了，反正安全，安全范围内吧。比如说就是那种行，我这是内容监管，内容审查吧。尽管是另外一方面，市场。

zFish(01:11:32): 国外的渠道有这么多特点，那我们可做的是啥呢？其实跟国内也差不多。

zFish(01:11:42): 由于语音方面的问题，我觉得一下就算了，如你如果你有这实力，估计估计估计你也不会去考虑这个问题。然后你做工具、做小程序，国外没有？国外没有小程序。国外做的最多的一个网站，这个这个是各色各样的网站都有。

zFish(01:12:01): 然后抓拍也可以，传谱传谱的也可以。如果你去做做网站，做APP。

zFish(01:12:12): 做自媒体，我觉得做自媒体国外你也做不了，所以比较比较比较我能标点。小豆技师。

zFish(01:12:26): 砸车，来看一下，最直接的就是做网站了。然后国外的这个Su的流量还是比较容易获取的。我这儿S you，know

zFish(01:12:46): 一般来说，如果你找到一个好的内衣市场，这里有个比较好的一个课程，叫做TSS。3. 0 是的是的，帮我找找那个课程啥来着。

zFish(01:13:16): CAS。

zFish(01:13:25): 上路人。

zFish(01:13:28): 他会教你怎么做，一个权威炸什么。较权威的就是你在某个领域里面，然后已经。

zFish(01:13:38): 已经已经达到达到一种权威，然后可以获取很多流量。然后一旦你你做了一个market，也就果老你把老外跟鼓励鼓励就是在知识方面。然后就喜欢说我。

zFish(01:13:52): 直接告诉我答案就行了，我不需要过去，然后直接喂我吃就行了。

zFish(01:13:56): 国外他们喜欢把一些东西你看起来非常显而易见的东西，告诉你怎么去做，怎么系统化的去做。比如说网站也是要做一个网站，它它分为很多步。心也就一个市场，然后比如说做坐过、站。

zFish(01:14:13): 我不可能做，我这里面也有，但是我们可能直接就是笼统的去把它揉成一团了。但是老外的话，他可能会。他可能会更进一步的去细分。比如说。能把那个tass的这个课程，然后。拆解一下怎么做一个网站。市场研究。

zFish(01:14:42): 说的更细致一点，室内机啥研究。什么叫内机呢。就是说特别少的一个一个一个一个一个需求不是很高的市场，你可以先避免有大厂去竞争，然后OK。你现在做内容的话，你可能需要研究。关键词那我那我为什么这么闲呢。你你吃了也就二关键是关键词吧研究。你得研究一下这个关键词的流量的这个竞争度。然后我这儿搭界。这属于一些技术性的一个元素。第四步是设计与品牌化。手机我觉得品牌放。

zFish(01:15:43): 开化OK。就是搞流量，搞到最后的终极目标就是形成一个品牌。比如说你做电影，也是。通过一些分享地做成一个IP了，然后然后整个IP经久不衰，然后流量就源源不断。

zFish(01:15:59): 品牌化也是一样的，就是我博客里面一直在阐述，为什么通过一个关键词。偏偏这种辞去强化化痰，各处都有。

zFish(01:16:10): 就是形成一种品牌效效益大不如别人去搜你这个词的时候。然后然后不仅在我这儿出现了，他会直接这个品牌你你出现了。

zFish(01:16:21): 有自己的logo啥的，那那说明说明你在这个领域做得非常非常的成功，可以获取源源不断的现金流。

zFish(01:16:30): OK品牌设计这应该就是还没有品牌化设计吧。因为你还没有内容，你现在一无所有。例如，内容靠过。

zFish(01:16:45): 可以就是写内容，大胆地围绕一系列的内容去创建。然后like buildings链接外链。外链建设。

zFish(01:16:57): 这些都是SUB做的一些东西，然后怎么获取外地，而不是说你跑过去买一堆垃圾链接，然后呢？可能直接用你的流量就费了。

zFish(01:17:08): 那我们想要的就是一些高质量的那些。然后因为你的内容吸引别人去主动帮你创建这些。比如说你写了一篇不错的文章，然后这个呢一个流量表达到我这儿，然后转载了，或者说是你直接给他们发帖子，然后让他们帮你留一个链接然后倒到你这里面，然后那就说明你觉得队伍做的不错。

zFish(01:17:33): 然后这里面每一个独立拆分，可能是非常非常复杂的一个课程。提醒他这个课程也时间也挺长的，我到现在都没有看完这个课程。而且他这个课程收费也特别贵，好像。得500多美元啥的，然后我最后找了一个俄罗斯的一个一个人，然后他们好像本来都是课程的。

zFish(01:17:55): 破解或者盗版画的吧，然后画了几十米的，然后买到了这这这这这这个约课真的很贵。当当然当然如果你有钱的话，你可以先买一个课程，因为可以直接用课程的作者然后去直接沟通。你如果直接买到大客车的话，那可能只能去看一些视频了。

zFish(01:18:17): 然后还有一个out，source就是

zFish(01:18:22): 不应与外包由于你你一旦创建了一些内容的话，就是你可能希望六个外包。直接去买内容，因为光你自己创建的你，你相当于做了一些出内容初始操作吗？我觉得这个是操作，如果你有钱的话，你可以找一些写手，然后去招聘一些。去写写写这方面的内容。

zFish(01:18:51): 然后矛盾货币化。

zFish(01:18:56): 终于到赚钱了，搞这么多，哎呀这破笔画，然后怎么去盈利。怎么去赚钱。然后赚到钱里面无非就是通过广告流量，广告。我告别期待，然后另外一个就是然后。到了我们说的athlete athlete。

zFish(01:19:19): Athlete这个网膜就是说各种给别人广告主去推广产品。然后这个可能也是。如果不不会坑。

zFish(01:19:31): 如果如果你成绩不错的话，你可以通过这几种方式去变现，这种方式完全靠量，人流量比较大的话然后你可以这么做。然后更重要的是你需要通过。

zFish(01:19:42): 你因为比如说你做一个立即市场，然后一个比如说一个棒球相关的一个市场，这个运动品牌的一个一个一个内内容建设。然后呢。你可能也可以给这个品牌去推广，然后APP利特有很多国外有很多平台，然后可以给他推广。然后做得好的话也可以直接除一户，方便去收费。然后这个就是国内有很多淘宝课程。然后。什么，除外卖货币，货币的OK，你用这些东西做最后一步就是。

zFish(01:20:19): 分析与追踪，于是我这儿我这监控吧。OK，这是站点的一些那个流量追踪。

zFish(01:20:34): 流量分析，然后第十个卖掉我炸。开始。

zFish(01:20:44): 一旦一一旦搞得不错以后，或者你没有经历没有兴趣继续做下去的话，可以把它卖掉。然后可能一般。

zFish(01:20:53): 一般他的这个可以获取好几，比如说20倍，你年入，比如说5000米的。然后你可以给他盛一个。

zFish(01:21:02): 陪一个20倍，然后去卖卖给别人，我这几天给他分析过，然后就是网站，然后如果你要卖给别人的话，是你这个年收入的多少倍。有一个比较合理的一个指标。有特别好的网站，可能能获取100多倍的一个一个一个收益，有兴趣的吧。

zFish(01:21:29): 这就是国外的一个比较长关于我这儿这一块儿。然后。

zFish(01:21:37): 那有人说那个国内也可以搞，国内其实其实可曾经可以搞，现在很难搞。因为因为本质就说国内国外渠道的这种区别。

zFish(01:21:50): 然后再加那个百度那个搜索引擎这个这个这个这个这个进价实在是太垃圾了。我觉得另外一点就是。

zFish(01:21:58): 流量流量，流量容易获取，大致有个比较明显的就是你在流量辅导的问题。这个。

zFish(01:22:16): 这个问题怎么说呢，微信的流量和百度流量完全是隔离开来的，然后互相不导流。但是你在国外看，你发现很多网站比如说谷歌L可以给Facebook给scramble比特不断的去导流那国，但是。

zFish(01:22:34): 国内的话引发这些绿绿要么就是知，然后要么就就就那么几个平台，然后然后流量完全是一个孤岛。然后你去做这些。这个时候很难去。

zFish(01:22:44): 去获取不到的这个流量，然后你只能在平台里面去获取，让他无法在整个宿舍一起在整个互联网里面去获取流量。那国国外的话他有这个特点，你可以这么吃。

zFish(01:22:56): 系统化的去做，而且有很多成功案例，然后呢就说我们有有很多可以借鉴的地方，这是他们他们那个最最直接的一个影响。OK然后国外。不爱是这样子的，过来的话，那你就另外就说，你卖卖卖设计那也不育什么。这个这个我也记得有人做过，比如说卖一些插件啥的。

zFish(01:23:45): 然后比如说卖卖工具，卖茶具。可以卖妲己。

zFish(01:23:55): 你卖一些主题皮肤啥的，主题one、pass的皮肤不可以然后卖一些工具啥的也可以，这是一个路子。还有就是卖设计、卖估计、卖服务。如果是60。另外一点搞一下得了。你买视频。看一下。设计扣除他，然后构建一个邮件列表。然后卖书。获取一个newsletter卖ID er，哎呀这个这个。

zFish(01:24:49): 不太适合我卖一个农村的这个topic，这个主题是一样的。然后国外不是找到一些比较火的一些那个萨斯的一些服务，然后他们就会把它做成一些扩展性这些东西，然后你就可以去去去去卖了。

zFish(01:25:06): 然后卖数据，可以，这这东西不太适合我卖卖皮肤，这里面挺多的，各种网站里面都可以设计模板。然后提供网站的一些审计服务啥的。卖电子书。然后卖一个课程，英语课程对我没有相当高的难度，所以这个就算了。然后。提供技能OK，这个这个雨刮。

zFish(01:25:36): 可能对于沟通的要求，英语沟通能力要求比较高。

zFish(01:25:39): Accident这个市场出出现了有很多APP的一个平台，你可以去另外一边，另外一个大头。另外一个比较复杂的点来了，可以。

zFish(01:26:06): 我觉得一个就是。

zFish(01:26:13): 刚跨进电商也说了，这个你你也可以做。跨境电商。比如说亚马逊，然后还有那个独立站。这是一个比较有难度的，我觉得一个人还搞不定，然后。应该不要乱搞。难度，难度比较大，另外呢，就是。我们可以当我们没有流量也没有内容。假设你是一个。不走流量，然后也不懂电视，也也不懂那个。你可以做一个那个更复杂的一个东西，在家带他。

zFish(01:27:10): 这个这个难度我觉得难度最高。

zFish(01:27:23): 每天伴就是一种套路的一种思维跟技能，然后假设假设你老人断断续续进来吗。没点儿，就说你去我把这个再拆分一下吧。比如说你需要解决的一个问题，就是。

zFish(01:27:50): 哥一奶酪。

zFish(01:28:01): 推广weldon，第二就是买流量。第三就是暴力。写广告吧行对于产品。然后买棉袄，然后套利，这个就是说。

zFish(01:28:31): 没地儿，他做的事情就是说我一个人没有流量，然后我也没有内容。我既不会写写东西，然后我我也不会去我也不会去。

zFish(01:28:43): 获取流量，那怎么办呢，然后假设你假设你这个这个这个这个人分析能力比较强的话。

zFish(01:28:50): 那你可以去做米饭，然后去安徽，就是网络里面，平台里面去接一些推广的任务。然后比如说T、5个品牌去推广一些产品啥的OK然后有了以后然后，你去买去那个流量平台里面去买流量然后

zFish(01:29:09): 你是给别人推广的时候，然后是一个价格就是推广一些产品。然后给你十块钱让你去买流量的时候。比如比如说买一一百的这个用户展示，然后一千六展示，付个一一块钱五块钱。

zFish(01:29:25): 然后呢，你通过一只要这1000个流量1000个用户浏览里面有一个人去买了OK。然后广告主给你十块钱，然后然后这个你你给这个流量给他五块钱，剩下的五块钱就是套装的钱。这个为什么说是难度最高的。因为呢可能会亏钱。

zFish(01:29:44): 并不是说你见过的所有的这个这个这个这个平台里面，然后你都可以去赚钱。他像对对人的要求，有点儿像投资，你投入1万美刀，然后转转2万美刀，OK，你的这个WiFi特别高，然后。

zFish(01:30:00): 然后这个这个的盈亏比达到二了，跟那个投资本质是一样的，买高卖。然后只不过他是玩的是广告跟流量。然后这是没地儿，大家可以了解一下。然后athlete然后。开始一个月都不拆了，OK这个没有。另外一点就是。做视频，这个Youtube现在有特别多的。后面都是这个中国人在里面去做这个视频，视频也是流量的一种。做视频做视频频道，视频频道。然后国内比如说你在。

zFish(01:30:46): 哔哩哔哩然后去做但是逼嫁的这个这个这个这个流量太便宜，主要就是用户太穷了，没有什么，顶多增加的影响力，然后通过其他方式去变现，或者接一下那个品牌品牌组的一些那个推广一些任务，然后其实那个。

zFish(01:31:02): F、fete本质一样然后，但是Youtube可以直接通过移动平台去赚钱然后，就跟那个你在网站里面切ad是一样的然后，就兔子的CPM特别，高的Youtube有什么特点呢有突破，有突破的

zFish(01:31:19): Youtube也有一些优点，比国内的优点应该多很多，还是之前我们提到的国内国外流量渠道的特点。第一个，OK。

zFish(01:31:40): CPMCPM高。然后这里面就说然后第二个CPM不仅高，还有汇率优势。你赚的是美刀，第三个，对于内容自由以及操作的这个。这个这个这个自由度是非常的高的，然后限制也比较少。然后再就是那个光这几点的话，我觉得其实。其实属于躺着赚钱，然后平台这个余料风发。笑话有好。

zFish(01:32:19): 这个只要你内容比较好的话，有痛苦的。这个制度。就因为依托于谷歌的一些技术吧，然后他对这些推广的一些推荐的一些这个算法会比较好一些吧，但是我没有一些证据证明它到底好在哪里，只有感觉然后开起来因为我自己开地图看的比较多，然后感觉他这个找好内容还是比较容易的。

zFish(01:32:42): 所以所以只要做云特别视频的话，然后你可以说中文也可以做英文。英文然后或者是你不说话只是然后通过一些字幕啥的都可以。这个这个自由度非常的高。流算法OK。

zFish(01:32:59): 这是一个比较适合我们的，然后卖域名，就这就算除了玉米比较复杂，这个也没什么好做吗。他是一个付费社区，一个难度然后交教别人东西有难度，然后编辑视频，编辑视频**，编辑视频就算了。然后卖一些那个版权版权的一些东西，它是一个博客。然后开始留三套，都是六六创作。跟你这个做网站的本质是一样的，然后做网站就是内容。Su、能量。你通过内容，内容获取全是用流浪。可。那。那我们提到了通过内容获取，还是物理量的话，我们完全可以通过技术去获取Su流量。其实我在这里面通过内容获取Su流量。

zFish(01:34:08): 然后我可以再扩展一下，坐我这儿有有我们技术，做技术的人来讲的话，它有多种方式了。一种就是通过内容不全CEO 02。一种良性的这个获取流量的方法。另外一种就是通过。

zFish(01:34:42): 通过一些灰色手段，就会全是用流量。通过。通过爬城获取流量OK。

zFish(01:34:59): 而出获取流量，怎么说呢。

zFish(01:35:03): 因为你在做国外业务，你人在国内，然后你不会因为一些这种差距啥的把你带进去。再加上你获取的是大战的然后。做这种这种方式呢其实特别多，而且流量特别的恐怖，大概一个月可以获取上百万的流量。PV。虽然他这个课CPM特别垃圾，但是积少成多。所以一个站。

zFish(01:35:26): 可转的这个这个这个这个这个钱还是比较多的。然后这个他拥有一些自己的特点，让我们在网上练习骂。流量非常的大，开发成本低，做完就不用管了，然后I ter，所以就不爱流量。上帝相对安全。

zFish(01:36:07): 如果你做得非常大的话，也许做一些社区流量的话，你可能直接被跨国单，因为国外国外有一些零容忍的，一些什么儿童色情都是零容忍的。不过我我觉得你应该没有这么这么这么长吗？一般都是集团作案，因为个人个人没必要牵扯到蜘蛛。如。呢非常大，开发成本低于正能量，比较安全。然后。

zFish(01:36:42): 对技术要求高一些，不是不是很高，但是这个比一般的我这儿要高一些，因为它他属于这个流量套类。

zFish(01:36:55): 就是说你从别的地方copy过来，考虑过来一些内容，然后去获取流量。

zFish(01:37:01): 外在欺骗大的平台，另一个平台同时也在骑着骨骼，然后可以做规模化，规模化、自动化。这是对技术比较有挑战，特别适合搞技术的。可以他这个Su的话，是一种非常良性方式。这是一种。

zFish(01:37:29): 毕竟没有出路，你坐坐着，然后考虑一个骨骼枇杷，然后吃了以后再做一个。然后就是怎么说呢。

zFish(01:37:39): 郑州是一个比较光明的手段。这个是一个比较黑黑色的一些方法吗。然后。差不多了，感觉这一期甲东西比较多，还有人听吗？还有27个人。

zFish(01:37:59): 内容这一块儿我感觉讲的差不多了，大家有什么要补充的吗？或者是有什么问题呢，如果没有的话，我们这一期然后就差不多了，因为这次感觉也输出了挺多东西的。

zFish(01:38:14): 我也没有想到这样会讲的更多。一开始我想着随便找找吧，因为我也不知道能不能讲出一些啥东西。然后我们再把它框起来，作为我们第二期的一个一题。大家有补充或者有问题没。

zFish(01:38:42): 你们可以直接说如何落地。你这个问题相当于我怎么帮你赚钱。

zFish(01:38:47): 我现在已经落地了，我关于这个这个第二节我落地。然后我说我我曾经路过的哪些国内的这个时候做小程序，做做他们都做过，他只不过没有变现，然后因为做很多都是做完以后然后我就我就不感兴趣跑路了，然后可能做过一个APP，然后做一个小程序，我这儿也做过，但是流量没怎么获取，然后。国外的话，然后做过这个Su流量，大家应该也能在博客上看到。那个流量特别恐怖，最后也赚了大概。

zFish(01:39:23): 1500多米高吧，就这个，这只是一个站，如果你再做的话也可以继续获取，只要你只要你有时间有精力去去去做这个。

zFish(01:39:35): 然后这个Su内容是我准备持续研究，就是说做正规的内容是会是流量，这个还比较有意思。然后只不过现在还没有开始落地，这个已经录过第一次，然后这这些设计我们快递电商我有过了解，但是包括学习一些东西，但是感觉。有点儿难度，快递介绍跟没地儿都不是一个人可以搞得。没单可以一个人搞，但是比较有挑战。

zFish(01:40:03): 然后再加我本身在做投资吗？我就没必要去玩，这个没地方办了。然后快递电商的话需要团队，然后做视频频道的话。这个断断续续在做吧，然后这个。其他落地的话就没怎么落地了，不知道你们有没有，真的也没有人落地。对上广东那一带，很多跨境电商都是做外贸的。然后他们对Su的研究。

zFish(01:40:33): 比较好一些，不过西安也有很多做seo的，做跨境电商的一些一些公司。然后他们包括我对我对Su这些也就也是受他们的一些学习和启发吧。然后才才了解的，其实一般人可能。可能尤其搞技术的，可能接触不到OK了，还有人要投入呢。你可以直接语音的。如果没有问题的话，我们这次就差不多了，感觉利润也比较多。

zFish(01:41:20): 可以，如果没有的话，那我们就我先结束录制吧。结束结束物质。
